"Name","License"
"Jinja2","BSD License"
"Keras-Preprocessing","MIT License"
"Markdown","BSD License"
"MarkupSafe","BSD License"
"Pillow","Historical Permission Notice and Disclaimer (HPND)"
"PyWavelets","MIT License"
"PyYAML","MIT License"
"Werkzeug","BSD License"
"absl-py","Apache Software License"
"aiosignal","Apache Software License"
"alibi","Apache Software License"
"astunparse","BSD License"
"attrs","MIT License"
"blis","BSD License"
"cachetools","MIT License"
"catalogue","MIT License"
"certifi","Mozilla Public License 2.0 (MPL 2.0)"
"charset-normalizer","MIT License"
"click","BSD License"
"cloudpickle","BSD License"
"contextvars","Apache Software License"
"cycler","BSD License"
"cymem","MIT License"
"dataclasses","Apache Software License"
"dill","BSD License"
"distlib","Python Software Foundation License"
"filelock","Public Domain"
"flatbuffers","Apache Software License"
"fonttools","MIT License"
"frozenlist","Apache Software License"
"gast","BSD License"
"google-auth","Apache Software License"
"google-auth-oauthlib","Apache Software License"
"google-pasta","Apache Software License"
"grpcio","Apache Software License"
"h5py","BSD License"
"huggingface-hub","Apache Software License"
"idna","BSD License"
"idna-ssl","MIT License"
"imageio","BSD License"
"immutables","Apache Software License"
"importlib-metadata","Apache Software License"
"importlib-resources","Apache Software License"
"joblib","BSD License"
"jsonschema","MIT License"
"keras","Apache Software License"
"kiwisolver","BSD License"
"langcodes","MIT License"
"libclang","Apache Software License"
"llvmlite","BSD"
"matplotlib","Python Software Foundation License"
"msgpack","Apache Software License"
"murmurhash","MIT License"
"networkx","BSD License"
"numba","BSD License"
"numpy","BSD License"
"oauthlib","BSD License"
"opt-einsum","MIT"
"packaging","Apache Software License; BSD License"
"pandas","BSD License"
"pathy","Apache Software License"
"platformdirs","MIT License"
"preshed","MIT License"
"protobuf","BSD-3-Clause"
"pyasn1","BSD License"
"pyasn1-modules","BSD License"
"pydantic","MIT License"
"pyparsing","MIT License"
"pyrsistent","MIT License"
"python-dateutil","Apache Software License; BSD License"
"pytz","MIT License"
"ray","Apache 2.0"
"regex","Apache Software License"
"requests","Apache Software License"
"requests-oauthlib","BSD License"
"rsa","Apache Software License"
"scikit-image","BSD License"
"scikit-learn","new BSD"
"scipy","BSD License"
"shap","MIT"
"six","MIT License"
"slicer","MIT License"
"smart-open","MIT License"
"spacy","MIT License"
"spacy-legacy","MIT License"
"spacy-loggers","MIT"
"spacy-lookups-data","MIT License"
"srsly","MIT License"
"tensorboard","Apache Software License"
"tensorboard-data-server","Apache Software License"
"tensorboard-plugin-wit","Apache 2.0"
"tensorflow","Apache Software License"
"tensorflow-estimator","Apache Software License"
"tensorflow-io-gcs-filesystem","Apache Software License"
"termcolor","MIT License"
"thinc","MIT License"
"threadpoolctl","BSD License"
"tifffile","BSD License"
"tokenizers","Apache Software License"
"torch","BSD License"
"tqdm","MIT License; Mozilla Public License 2.0 (MPL 2.0)"
"transformers","Apache Software License"
"typer","MIT License"
"typing-extensions","Python Software Foundation License"
"urllib3","MIT License"
"virtualenv","MIT License"
"wasabi","MIT"
"wrapt","BSD License"
"zipp","MIT License"
